route_key,rows,min_move_delta,min_stage_b_moves,stage_a_calibration_method,stage_a_calibration_enabled,stage_b_model_family,threshold,predicted_move_count,actual_move_count,stage_a_balanced_accuracy,stage_a_f1_move,combined_rmse,combined_mae,combined_r2,zero_baseline_rmse,zero_baseline_mae,beats_zero_rmse,beats_zero_mae
CXB-DAC,2313,200.0,5,none,False,ridge,0.5,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.51,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.52,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.53,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.54,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.55,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.56,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.57,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.58,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.59,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.6,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.61,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.62,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.63,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.64,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.65,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.66,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.67,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.68,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.69,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.7,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.71,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.72,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.73,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.74,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.75,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.76,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.77,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.78,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.79,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.8,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.81,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.82,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.83,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.84,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.85,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.86,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.87,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.88,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.89,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.9,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.91,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.92,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.93,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.94,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.95,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.96,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.97,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.98,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
CXB-DAC,2313,200.0,5,none,False,ridge,0.99,0,9,0.5,0.0,118.60268246419646,13.696055684454757,-0.00966377748093028,118.60268246419646,13.696055684454757,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.5,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.51,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.52,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.53,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.54,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.55,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.56,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.57,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.58,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.59,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.6,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.61,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.62,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.63,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.64,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.65,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.66,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.67,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.68,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.69,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.7,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.71,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.72,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.73,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.74,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.75,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.76,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.77,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.78,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.79,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.8,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.81,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.82,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.83,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.84,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.85,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.86,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.87,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.88,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.89,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.9,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.91,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.92,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.93,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.94,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.95,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.96,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.97,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
DAC-CXB,2377,200.0,5,none,False,ridge,0.98,0,13,0.5,0.0,156.2924127538646,23.81941309255079,-0.012040334160478894,156.2924127538646,23.81941309255079,False,False
